timestamp,location,pred
2023-07-01 20:00:00,26057,0.0
2023-07-01 21:00:00,26057,0.0
2023-07-01 22:00:00,26057,0.0
2023-07-01 23:00:00,26057,0.0
2023-07-02 00:00:00,26057,0.0
2023-06-30 01:00:00,26059,0.0
2023-06-30 02:00:00,26059,0.0
2023-06-30 03:00:00,26059,0.0
2023-06-30 04:00:00,26059,0.0
2023-06-30 05:00:00,26059,0.0
2023-06-30 06:00:00,26059,0.0
2023-06-30 07:00:00,26059,0.0
2023-06-30 08:00:00,26059,0.0
2023-06-30 09:00:00,26059,0.0
2023-06-30 10:00:00,26059,0.0
2023-06-30 11:00:00,26059,0.0
2023-06-30 12:00:00,26059,0.0
2023-06-30 13:00:00,26059,0.0
2023-06-30 14:00:00,26059,0.0
2023-06-30 15:00:00,26059,0.0
2023-06-30 16:00:00,26059,0.0
2023-06-30 17:00:00,26059,0.0
2023-06-30 18:00:00,26059,0.0
2023-06-30 19:00:00,26059,0.0
2023-06-30 20:00:00,26059,0.0
2023-06-30 21:00:00,26059,0.0
2023-06-30 22:00:00,26059,0.0
2023-06-30 23:00:00,26059,0.0
2023-07-01 00:00:00,26059,0.0
2023-07-01 01:00:00,26059,0.0
2023-07-01 02:00:00,26059,0.0
2023-07-01 03:00:00,26059,0.0
2023-07-01 04:00:00,26059,0.0
2023-07-01 05:00:00,26059,0.0
2023-07-01 06:00:00,26059,0.0
2023-07-01 07:00:00,26059,0.0
2023-07-01 08:00:00,26059,0.0
2023-07-01 09:00:00,26059,0.0
2023-07-01 10:00:00,26059,0.0
2023-07-01 11:00:00,26059,0.0
2023-07-01 12:00:00,26059,0.0
2023-07-01 13:00:00,26059,0.0
2023-07-01 14:00:00,26059,0.0
2023-07-01 15:00:00,26059,0.0
2023-07-01 16:00:00,26059,0.0
2023-07-01 17:00:00,26059,0.0
2023-07-01 18:00:00,26059,0.0
2023-07-01 19:00:00,26059,0.0
2023-07-01 20:00:00,26059,0.0
2023-07-01 21:00:00,26059,0.0
2023-07-01 22:00:00,26059,0.0
2023-07-01 23:00:00,26059,0.0
2023-07-02 00:00:00,26059,0.0
2023-06-30 01:00:00,26061,0.0
2023-06-30 02:00:00,26061,0.0
2023-06-30 03:00:00,26061,0.0
2023-06-30 04:00:00,26061,0.0
2023-06-30 05:00:00,26061,0.0
2023-06-30 06:00:00,26061,0.0
2023-06-30 07:00:00,26061,0.0
2023-06-30 08:00:00,26061,0.0
2023-06-30 09:00:00,26061,0.0
2023-06-30 10:00:00,26061,0.0
2023-06-30 11:00:00,26061,0.0
2023-06-30 12:00:00,26061,0.0
2023-06-30 13:00:00,26061,0.0
2023-06-30 14:00:00,26061,0.0
2023-06-30 15:00:00,26061,0.0
2023-06-30 16:00:00,26061,0.0
2023-06-30 17:00:00,26061,0.0
2023-06-30 18:00:00,26061,0.0
2023-06-30 19:00:00,26061,0.0
2023-06-30 20:00:00,26061,0.0
2023-06-30 21:00:00,26061,0.0
2023-06-30 22:00:00,26061,0.0
2023-06-30 23:00:00,26061,0.0
2023-07-01 00:00:00,26061,0.0
2023-07-01 01:00:00,26061,0.0
2023-07-01 02:00:00,26061,0.0
2023-07-01 03:00:00,26061,0.0
2023-07-01 04:00:00,26061,0.0
2023-07-01 05:00:00,26061,0.0
2023-07-01 06:00:00,26061,0.0
2023-07-01 07:00:00,26061,0.0
2023-07-01 08:00:00,26061,0.0
2023-07-01 09:00:00,26061,0.0
2023-07-01 10:00:00,26061,0.0
2023-07-01 11:00:00,26061,0.0
2023-07-01 12:00:00,26061,0.0
2023-07-01 13:00:00,26061,0.0
2023-07-01 14:00:00,26061,0.0
2023-07-01 15:00:00,26061,0.0
2023-07-01 16:00:00,26061,0.0
2023-07-01 17:00:00,26061,0.0
2023-07-01 18:00:00,26061,0.0
2023-07-01 19:00:00,26061,0.0
2023-07-01 20:00:00,26061,0.0
2023-07-01 21:00:00,26061,0.0
2023-07-01 22:00:00,26061,0.0
2023-07-01 23:00:00,26061,0.0
2023-07-02 00:00:00,26061,0.0
2023-06-30 01:00:00,26063,0.0
2023-06-30 02:00:00,26063,0.0
2023-06-30 03:00:00,26063,0.0
2023-06-30 04:00:00,26063,0.0
2023-06-30 05:00:00,26063,0.0
2023-06-30 06:00:00,26063,0.0
2023-06-30 07:00:00,26063,0.0
2023-06-30 08:00:00,26063,0.0
2023-06-30 09:00:00,26063,0.0
2023-06-30 10:00:00,26063,0.0
2023-06-30 11:00:00,26063,0.0
2023-06-30 12:00:00,26063,0.0
2023-06-30 13:00:00,26063,0.0
2023-06-30 14:00:00,26063,0.0
2023-06-30 15:00:00,26063,0.0
2023-06-30 16:00:00,26063,0.0
2023-06-30 17:00:00,26063,0.0
2023-06-30 18:00:00,26063,0.0
2023-06-30 19:00:00,26063,0.0
2023-06-30 20:00:00,26063,0.0
2023-06-30 21:00:00,26063,0.0
2023-06-30 22:00:00,26063,0.0
2023-06-30 23:00:00,26063,0.0
2023-07-01 00:00:00,26063,0.0
2023-07-01 01:00:00,26063,0.0
2023-07-01 02:00:00,26063,0.0
2023-07-01 03:00:00,26063,0.0
2023-07-01 04:00:00,26063,0.0
2023-07-01 05:00:00,26063,0.0
2023-07-01 06:00:00,26063,0.0
2023-07-01 07:00:00,26063,0.0
2023-07-01 08:00:00,26063,0.0
2023-07-01 09:00:00,26063,0.0
2023-07-01 10:00:00,26063,0.0
2023-07-01 11:00:00,26063,0.0
2023-07-01 12:00:00,26063,0.0
2023-07-01 13:00:00,26063,0.0
2023-07-01 14:00:00,26063,0.0
2023-07-01 15:00:00,26063,0.0
2023-07-01 16:00:00,26063,0.0
2023-07-01 17:00:00,26063,0.0
2023-07-01 18:00:00,26063,0.0
2023-07-01 19:00:00,26063,0.0
2023-07-01 20:00:00,26063,0.0
2023-07-01 21:00:00,26063,0.0
2023-07-01 22:00:00,26063,0.0
2023-07-01 23:00:00,26063,0.0
2023-07-02 00:00:00,26063,0.0
2023-06-30 01:00:00,26065,0.0
2023-06-30 02:00:00,26065,0.0
2023-06-30 03:00:00,26065,0.0
2023-06-30 04:00:00,26065,0.0
2023-06-30 05:00:00,26065,0.0
2023-06-30 06:00:00,26065,0.0
2023-06-30 07:00:00,26065,0.0
2023-06-30 08:00:00,26065,0.0
2023-06-30 09:00:00,26065,0.0
2023-06-30 10:00:00,26065,0.0
2023-06-30 11:00:00,26065,0.0
2023-06-30 12:00:00,26065,0.0
2023-06-30 13:00:00,26065,0.0
2023-06-30 14:00:00,26065,0.0
2023-06-30 15:00:00,26065,0.0
2023-06-30 16:00:00,26065,0.0
2023-06-30 17:00:00,26065,0.0
2023-06-30 18:00:00,26065,0.0
2023-06-30 19:00:00,26065,0.0
2023-06-30 20:00:00,26065,0.0
2023-06-30 21:00:00,26065,0.0
2023-06-30 22:00:00,26065,0.0
2023-06-30 23:00:00,26065,0.0
2023-07-01 00:00:00,26065,0.0
2023-07-01 01:00:00,26065,0.0
2023-07-01 02:00:00,26065,0.0
2023-07-01 03:00:00,26065,0.0
2023-07-01 04:00:00,26065,0.0
2023-07-01 05:00:00,26065,0.0
2023-07-01 06:00:00,26065,0.0
2023-07-01 07:00:00,26065,0.0
2023-07-01 08:00:00,26065,0.0
2023-07-01 09:00:00,26065,0.0
2023-07-01 10:00:00,26065,0.0
2023-07-01 11:00:00,26065,0.0
2023-07-01 12:00:00,26065,0.0
2023-07-01 13:00:00,26065,0.0
2023-07-01 14:00:00,26065,0.0
2023-07-01 15:00:00,26065,0.0
2023-07-01 16:00:00,26065,0.0
2023-07-01 17:00:00,26065,0.0
2023-07-01 18:00:00,26065,0.0
2023-07-01 19:00:00,26065,0.0
2023-07-01 20:00:00,26065,0.0
2023-07-01 21:00:00,26065,0.0
2023-07-01 22:00:00,26065,0.0
2023-07-01 23:00:00,26065,0.0
2023-07-02 00:00:00,26065,0.0
2023-06-30 01:00:00,26067,0.0
2023-06-30 02:00:00,26067,0.0
2023-06-30 03:00:00,26067,0.0
2023-06-30 04:00:00,26067,0.0
2023-06-30 05:00:00,26067,0.0
2023-06-30 06:00:00,26067,0.0
2023-06-30 07:00:00,26067,0.0
2023-06-30 08:00:00,26067,0.0
2023-06-30 09:00:00,26067,0.0
2023-06-30 10:00:00,26067,0.0
2023-06-30 11:00:00,26067,0.0
2023-06-30 12:00:00,26067,0.0
2023-06-30 13:00:00,26067,0.0
2023-06-30 14:00:00,26067,0.0
2023-06-30 15:00:00,26067,0.0
2023-06-30 16:00:00,26067,0.0
2023-06-30 17:00:00,26067,0.0
2023-06-30 18:00:00,26067,0.0
2023-06-30 19:00:00,26067,0.0
2023-06-30 20:00:00,26067,0.0
2023-06-30 21:00:00,26067,0.0
2023-06-30 22:00:00,26067,0.0
2023-06-30 23:00:00,26067,0.0
2023-07-01 00:00:00,26067,0.0
2023-07-01 01:00:00,26067,0.0
2023-07-01 02:00:00,26067,0.0
2023-07-01 03:00:00,26067,0.0
2023-07-01 04:00:00,26067,0.0
2023-07-01 05:00:00,26067,0.0
2023-07-01 06:00:00,26067,0.0
2023-07-01 07:00:00,26067,0.0
2023-07-01 08:00:00,26067,0.0
2023-07-01 09:00:00,26067,0.0
2023-07-01 10:00:00,26067,0.0
2023-07-01 11:00:00,26067,0.0
2023-07-01 12:00:00,26067,0.0
2023-07-01 13:00:00,26067,0.0
2023-07-01 14:00:00,26067,0.0
2023-07-01 15:00:00,26067,0.0
2023-07-01 16:00:00,26067,0.0
2023-07-01 17:00:00,26067,0.0
2023-07-01 18:00:00,26067,0.0
2023-07-01 19:00:00,26067,0.0
2023-07-01 20:00:00,26067,0.0
2023-07-01 21:00:00,26067,0.0
2023-07-01 22:00:00,26067,0.0
2023-07-01 23:00:00,26067,0.0
2023-07-02 00:00:00,26067,0.0
2023-06-30 01:00:00,26069,0.0
2023-06-30 02:00:00,26069,0.0
2023-06-30 03:00:00,26069,0.0
2023-06-30 04:00:00,26069,0.0
2023-06-30 05:00:00,26069,0.0
2023-06-30 06:00:00,26069,0.0
2023-06-30 07:00:00,26069,0.0
2023-06-30 08:00:00,26069,0.0
2023-06-30 09:00:00,26069,0.0
2023-06-30 10:00:00,26069,0.0
2023-06-30 11:00:00,26069,0.0
2023-06-30 12:00:00,26069,0.0
2023-06-30 13:00:00,26069,0.0
2023-06-30 14:00:00,26069,0.0
2023-06-30 15:00:00,26069,0.0
2023-06-30 16:00:00,26069,0.0
2023-06-30 17:00:00,26069,0.0
2023-06-30 18:00:00,26069,0.0
2023-06-30 19:00:00,26069,0.0
2023-06-30 20:00:00,26069,0.0
2023-06-30 21:00:00,26069,0.0
2023-06-30 22:00:00,26069,0.0
2023-06-30 23:00:00,26069,0.0
2023-07-01 00:00:00,26069,0.0
2023-07-01 01:00:00,26069,0.0
2023-07-01 02:00:00,26069,0.0
2023-07-01 03:00:00,26069,0.0
2023-07-01 04:00:00,26069,0.0
2023-07-01 05:00:00,26069,0.0
2023-07-01 06:00:00,26069,0.0
2023-07-01 07:00:00,26069,0.0
2023-07-01 08:00:00,26069,0.0
2023-07-01 09:00:00,26069,0.0
2023-07-01 10:00:00,26069,0.0
2023-07-01 11:00:00,26069,0.0
2023-07-01 12:00:00,26069,0.0
2023-07-01 13:00:00,26069,0.0
2023-07-01 14:00:00,26069,0.0
2023-07-01 15:00:00,26069,0.0
2023-07-01 16:00:00,26069,0.0
2023-07-01 17:00:00,26069,0.0
2023-07-01 18:00:00,26069,0.0
2023-07-01 19:00:00,26069,0.0
2023-07-01 20:00:00,26069,0.0
2023-07-01 21:00:00,26069,0.0
2023-07-01 22:00:00,26069,0.0
2023-07-01 23:00:00,26069,0.0
2023-07-02 00:00:00,26069,0.0
2023-06-30 01:00:00,26071,0.0
2023-06-30 02:00:00,26071,0.0
2023-06-30 03:00:00,26071,0.0
2023-06-30 04:00:00,26071,0.0
2023-06-30 05:00:00,26071,0.0
2023-06-30 06:00:00,26071,0.0
2023-06-30 07:00:00,26071,0.0
2023-06-30 08:00:00,26071,0.0
2023-06-30 09:00:00,26071,0.0
2023-06-30 10:00:00,26071,0.0
2023-06-30 11:00:00,26071,0.0
2023-06-30 12:00:00,26071,0.0
2023-06-30 13:00:00,26071,0.0
2023-06-30 14:00:00,26071,0.0
2023-06-30 15:00:00,26071,0.0
2023-06-30 16:00:00,26071,0.0
2023-06-30 17:00:00,26071,0.0
2023-06-30 18:00:00,26071,0.0
2023-06-30 19:00:00,26071,0.0
2023-06-30 20:00:00,26071,0.0
2023-06-30 21:00:00,26071,0.0
2023-06-30 22:00:00,26071,0.0
2023-06-30 23:00:00,26071,0.0
2023-07-01 00:00:00,26071,0.0
2023-07-01 01:00:00,26071,0.0
2023-07-01 02:00:00,26071,0.0
2023-07-01 03:00:00,26071,0.0
2023-07-01 04:00:00,26071,0.0
2023-07-01 05:00:00,26071,0.0
2023-07-01 06:00:00,26071,0.0
2023-07-01 07:00:00,26071,0.0
2023-07-01 08:00:00,26071,0.0
2023-07-01 09:00:00,26071,0.0
2023-07-01 10:00:00,26071,0.0
2023-07-01 11:00:00,26071,0.0
2023-07-01 12:00:00,26071,0.0
2023-07-01 13:00:00,26071,0.0
2023-07-01 14:00:00,26071,0.0
2023-07-01 15:00:00,26071,0.0
2023-07-01 16:00:00,26071,0.0
2023-07-01 17:00:00,26071,0.0
2023-07-01 18:00:00,26071,0.0
2023-07-01 19:00:00,26071,0.0
2023-07-01 20:00:00,26071,0.0
2023-07-01 21:00:00,26071,0.0
2023-07-01 22:00:00,26071,0.0
2023-07-01 23:00:00,26071,0.0
2023-07-02 00:00:00,26071,0.0
2023-06-30 01:00:00,26073,0.0
2023-06-30 02:00:00,26073,0.0
2023-06-30 03:00:00,26073,0.0
2023-06-30 04:00:00,26073,0.0
2023-06-30 05:00:00,26073,0.0
2023-06-30 06:00:00,26073,0.0
2023-06-30 07:00:00,26073,0.0
2023-06-30 08:00:00,26073,0.0
2023-06-30 09:00:00,26073,0.0
2023-06-30 10:00:00,26073,0.0
2023-06-30 11:00:00,26073,0.0
2023-06-30 12:00:00,26073,0.0
2023-06-30 13:00:00,26073,0.0
2023-06-30 14:00:00,26073,0.0
2023-06-30 15:00:00,26073,0.0
2023-06-30 16:00:00,26073,0.0
2023-06-30 17:00:00,26073,0.0
2023-06-30 18:00:00,26073,0.0
2023-06-30 19:00:00,26073,0.0
2023-06-30 20:00:00,26073,0.0
2023-06-30 21:00:00,26073,0.0
2023-06-30 22:00:00,26073,0.0
2023-06-30 23:00:00,26073,0.0
2023-07-01 00:00:00,26073,0.0
2023-07-01 01:00:00,26073,0.0
2023-07-01 02:00:00,26073,0.0
2023-07-01 03:00:00,26073,0.0
2023-07-01 04:00:00,26073,0.0
2023-07-01 05:00:00,26073,0.0
2023-07-01 06:00:00,26073,0.0
2023-07-01 07:00:00,26073,0.0
2023-07-01 08:00:00,26073,0.0
2023-07-01 09:00:00,26073,0.0
2023-07-01 10:00:00,26073,0.0
2023-07-01 11:00:00,26073,0.0
2023-07-01 12:00:00,26073,0.0
2023-07-01 13:00:00,26073,0.0
2023-07-01 14:00:00,26073,0.0
2023-07-01 15:00:00,26073,0.0
2023-07-01 16:00:00,26073,0.0
2023-07-01 17:00:00,26073,0.0
2023-07-01 18:00:00,26073,0.0
2023-07-01 19:00:00,26073,0.0
2023-07-01 20:00:00,26073,0.0
2023-07-01 21:00:00,26073,0.0
2023-07-01 22:00:00,26073,0.0
2023-07-01 23:00:00,26073,0.0
2023-07-02 00:00:00,26073,0.0
2023-06-30 01:00:00,26075,0.0
2023-06-30 02:00:00,26075,0.0
2023-06-30 03:00:00,26075,0.0
2023-06-30 04:00:00,26075,0.0
2023-06-30 05:00:00,26075,0.0
2023-06-30 06:00:00,26075,0.0
2023-06-30 07:00:00,26075,0.0
2023-06-30 08:00:00,26075,0.0
2023-06-30 09:00:00,26075,0.0
2023-06-30 10:00:00,26075,0.0
2023-06-30 11:00:00,26075,0.0
2023-06-30 12:00:00,26075,0.0
2023-06-30 13:00:00,26075,0.0
2023-06-30 14:00:00,26075,0.0
2023-06-30 15:00:00,26075,0.0
2023-06-30 16:00:00,26075,0.0
2023-06-30 17:00:00,26075,0.0
2023-06-30 18:00:00,26075,0.0
2023-06-30 19:00:00,26075,0.0
2023-06-30 20:00:00,26075,0.0
2023-06-30 21:00:00,26075,0.0
2023-06-30 22:00:00,26075,0.0
2023-06-30 23:00:00,26075,0.0
2023-07-01 00:00:00,26075,0.0
2023-07-01 01:00:00,26075,0.0
2023-07-01 02:00:00,26075,0.0
2023-07-01 03:00:00,26075,0.0
2023-07-01 04:00:00,26075,0.0
2023-07-01 05:00:00,26075,0.0
2023-07-01 06:00:00,26075,0.0
2023-07-01 07:00:00,26075,0.0
2023-07-01 08:00:00,26075,0.0
2023-07-01 09:00:00,26075,0.0
2023-07-01 10:00:00,26075,0.0
2023-07-01 11:00:00,26075,0.0
2023-07-01 12:00:00,26075,0.0
2023-07-01 13:00:00,26075,0.0
2023-07-01 14:00:00,26075,0.0
2023-07-01 15:00:00,26075,0.0
2023-07-01 16:00:00,26075,0.0
2023-07-01 17:00:00,26075,0.0
2023-07-01 18:00:00,26075,0.0
2023-07-01 19:00:00,26075,0.0
2023-07-01 20:00:00,26075,0.0
2023-07-01 21:00:00,26075,0.0
2023-07-01 22:00:00,26075,0.0
2023-07-01 23:00:00,26075,0.0
2023-07-02 00:00:00,26075,0.0
2023-06-30 01:00:00,26077,0.0
2023-06-30 02:00:00,26077,0.0
2023-06-30 03:00:00,26077,0.0
2023-06-30 04:00:00,26077,0.0
2023-06-30 05:00:00,26077,0.0
2023-06-30 06:00:00,26077,0.0
2023-06-30 07:00:00,26077,0.0
2023-06-30 08:00:00,26077,0.0
2023-06-30 09:00:00,26077,0.0
2023-06-30 10:00:00,26077,0.0
2023-06-30 11:00:00,26077,0.0
2023-06-30 12:00:00,26077,0.0
2023-06-30 13:00:00,26077,0.0
2023-06-30 14:00:00,26077,0.0
2023-06-30 15:00:00,26077,0.0
2023-06-30 16:00:00,26077,0.0
2023-06-30 17:00:00,26077,0.0
2023-06-30 18:00:00,26077,0.0
2023-06-30 19:00:00,26077,0.0
2023-06-30 20:00:00,26077,0.0
2023-06-30 21:00:00,26077,0.0
2023-06-30 22:00:00,26077,0.0
2023-06-30 23:00:00,26077,0.0
2023-07-01 00:00:00,26077,0.0
2023-07-01 01:00:00,26077,0.0
2023-07-01 02:00:00,26077,0.0
2023-07-01 03:00:00,26077,0.0
2023-07-01 04:00:00,26077,0.0
2023-07-01 05:00:00,26077,0.0
2023-07-01 06:00:00,26077,0.0
2023-07-01 07:00:00,26077,0.0
2023-07-01 08:00:00,26077,0.0
2023-07-01 09:00:00,26077,0.0
2023-07-01 10:00:00,26077,0.0
2023-07-01 11:00:00,26077,0.0
2023-07-01 12:00:00,26077,0.0
2023-07-01 13:00:00,26077,0.0
2023-07-01 14:00:00,26077,0.0
2023-07-01 15:00:00,26077,0.0
2023-07-01 16:00:00,26077,0.0
2023-07-01 17:00:00,26077,0.0
2023-07-01 18:00:00,26077,0.0
2023-07-01 19:00:00,26077,0.0
2023-07-01 20:00:00,26077,0.0
2023-07-01 21:00:00,26077,0.0
2023-07-01 22:00:00,26077,0.0
2023-07-01 23:00:00,26077,0.0
2023-07-02 00:00:00,26077,0.0
2023-06-30 01:00:00,26079,0.0
2023-06-30 02:00:00,26079,0.0
2023-06-30 03:00:00,26079,0.0
2023-06-30 04:00:00,26079,0.0
2023-06-30 05:00:00,26079,0.0
2023-06-30 06:00:00,26079,0.0
2023-06-30 07:00:00,26079,0.0
2023-06-30 08:00:00,26079,0.0
2023-06-30 09:00:00,26079,0.0
2023-06-30 10:00:00,26079,0.0
2023-06-30 11:00:00,26079,0.0
2023-06-30 12:00:00,26079,0.0
2023-06-30 13:00:00,26079,0.0
2023-06-30 14:00:00,26079,0.0
2023-06-30 15:00:00,26079,0.0
2023-06-30 16:00:00,26079,0.0
2023-06-30 17:00:00,26079,0.0
2023-06-30 18:00:00,26079,0.0
2023-06-30 19:00:00,26079,0.0
2023-06-30 20:00:00,26079,0.0
2023-06-30 21:00:00,26079,0.0
2023-06-30 22:00:00,26079,0.0
2023-06-30 23:00:00,26079,0.0
2023-07-01 00:00:00,26079,0.0
2023-07-01 01:00:00,26079,0.0
2023-07-01 02:00:00,26079,0.0
2023-07-01 03:00:00,26079,0.0
2023-07-01 04:00:00,26079,0.0
2023-07-01 05:00:00,26079,0.0
2023-07-01 06:00:00,26079,0.0
2023-07-01 07:00:00,26079,0.0
2023-07-01 08:00:00,26079,0.0
2023-07-01 09:00:00,26079,0.0
2023-07-01 10:00:00,26079,0.0
2023-07-01 11:00:00,26079,0.0
2023-07-01 12:00:00,26079,0.0
2023-07-01 13:00:00,26079,0.0
2023-07-01 14:00:00,26079,0.0
2023-07-01 15:00:00,26079,0.0
2023-07-01 16:00:00,26079,0.0
2023-07-01 17:00:00,26079,0.0
2023-07-01 18:00:00,26079,0.0
2023-07-01 19:00:00,26079,0.0
2023-07-01 20:00:00,26079,0.0
2023-07-01 21:00:00,26079,0.0
2023-07-01 22:00:00,26079,0.0
2023-07-01 23:00:00,26079,0.0
2023-07-02 00:00:00,26079,0.0
2023-06-30 01:00:00,26081,0.0
2023-06-30 02:00:00,26081,0.0
2023-06-30 03:00:00,26081,0.0
2023-06-30 04:00:00,26081,0.0
2023-06-30 05:00:00,26081,0.0
2023-06-30 06:00:00,26081,0.0
2023-06-30 07:00:00,26081,0.0
2023-06-30 08:00:00,26081,0.0
2023-06-30 09:00:00,26081,0.0
2023-06-30 10:00:00,26081,0.0
2023-06-30 11:00:00,26081,0.0
2023-06-30 12:00:00,26081,0.0
2023-06-30 13:00:00,26081,0.0
2023-06-30 14:00:00,26081,0.0
2023-06-30 15:00:00,26081,0.0
2023-06-30 16:00:00,26081,0.0
2023-06-30 17:00:00,26081,0.0
2023-06-30 18:00:00,26081,0.0
2023-06-30 19:00:00,26081,0.0
2023-06-30 20:00:00,26081,0.0
2023-06-30 21:00:00,26081,0.0
2023-06-30 22:00:00,26081,0.0
2023-06-30 23:00:00,26081,0.0
2023-07-01 00:00:00,26081,0.0
2023-07-01 01:00:00,26081,0.0
2023-07-01 02:00:00,26081,0.0
2023-07-01 03:00:00,26081,0.0
2023-07-01 04:00:00,26081,0.0
2023-07-01 05:00:00,26081,0.0
2023-07-01 06:00:00,26081,0.0
2023-07-01 07:00:00,26081,0.0
2023-07-01 08:00:00,26081,0.0
2023-07-01 09:00:00,26081,0.0
2023-07-01 10:00:00,26081,0.0
2023-07-01 11:00:00,26081,0.0
2023-07-01 12:00:00,26081,0.0
2023-07-01 13:00:00,26081,0.0
2023-07-01 14:00:00,26081,0.0
2023-07-01 15:00:00,26081,0.0
2023-07-01 16:00:00,26081,0.0
2023-07-01 17:00:00,26081,0.0
2023-07-01 18:00:00,26081,0.0
2023-07-01 19:00:00,26081,0.0
2023-07-01 20:00:00,26081,0.0
2023-07-01 21:00:00,26081,0.0
2023-07-01 22:00:00,26081,0.0
2023-07-01 23:00:00,26081,0.0
2023-07-02 00:00:00,26081,0.0
2023-06-30 01:00:00,26083,0.0
2023-06-30 02:00:00,26083,0.0
2023-06-30 03:00:00,26083,0.0
2023-06-30 04:00:00,26083,0.0
2023-06-30 05:00:00,26083,0.0
2023-06-30 06:00:00,26083,0.0
2023-06-30 07:00:00,26083,0.0
2023-06-30 08:00:00,26083,0.0
2023-06-30 09:00:00,26083,0.0
2023-06-30 10:00:00,26083,0.0
2023-06-30 11:00:00,26083,0.0
2023-06-30 12:00:00,26083,0.0
2023-06-30 13:00:00,26083,0.0
2023-06-30 14:00:00,26083,0.0
2023-06-30 15:00:00,26083,0.0
2023-06-30 16:00:00,26083,0.0
2023-06-30 17:00:00,26083,0.0
2023-06-30 18:00:00,26083,0.0
2023-06-30 19:00:00,26083,0.0
2023-06-30 20:00:00,26083,0.0
2023-06-30 21:00:00,26083,0.0
2023-06-30 22:00:00,26083,0.0
2023-06-30 23:00:00,26083,0.0
2023-07-01 00:00:00,26083,0.0
2023-07-01 01:00:00,26083,0.0
2023-07-01 02:00:00,26083,0.0
2023-07-01 03:00:00,26083,0.0
2023-07-01 04:00:00,26083,0.0
2023-07-01 05:00:00,26083,0.0
2023-07-01 06:00:00,26083,0.0
2023-07-01 07:00:00,26083,0.0
2023-07-01 08:00:00,26083,0.0
2023-07-01 09:00:00,26083,0.0
2023-07-01 10:00:00,26083,0.0
2023-07-01 11:00:00,26083,0.0
2023-07-01 12:00:00,26083,0.0
2023-07-01 13:00:00,26083,0.0
2023-07-01 14:00:00,26083,0.0
2023-07-01 15:00:00,26083,0.0
2023-07-01 16:00:00,26083,0.0
2023-07-01 17:00:00,26083,0.0
2023-07-01 18:00:00,26083,0.0
2023-07-01 19:00:00,26083,0.0
2023-07-01 20:00:00,26083,0.0
2023-07-01 21:00:00,26083,0.0
2023-07-01 22:00:00,26083,0.0
2023-07-01 23:00:00,26083,0.0
2023-07-02 00:00:00,26083,0.0
2023-06-30 01:00:00,26085,0.0
2023-06-30 02:00:00,26085,0.0
2023-06-30 03:00:00,26085,0.0
2023-06-30 04:00:00,26085,0.0
2023-06-30 05:00:00,26085,0.0
2023-06-30 06:00:00,26085,0.0
2023-06-30 07:00:00,26085,0.0
2023-06-30 08:00:00,26085,0.0
2023-06-30 09:00:00,26085,0.0
2023-06-30 10:00:00,26085,0.0
2023-06-30 11:00:00,26085,0.0
2023-06-30 12:00:00,26085,0.0
2023-06-30 13:00:00,26085,0.0
2023-06-30 14:00:00,26085,0.0
2023-06-30 15:00:00,26085,0.0
2023-06-30 16:00:00,26085,0.0
2023-06-30 17:00:00,26085,0.0
2023-06-30 18:00:00,26085,0.0
2023-06-30 19:00:00,26085,0.0
2023-06-30 20:00:00,26085,0.0
2023-06-30 21:00:00,26085,0.0
2023-06-30 22:00:00,26085,0.0
2023-06-30 23:00:00,26085,0.0
2023-07-01 00:00:00,26085,0.0
2023-07-01 01:00:00,26085,0.0
2023-07-01 02:00:00,26085,0.0
2023-07-01 03:00:00,26085,0.0
2023-07-01 04:00:00,26085,0.0
2023-07-01 05:00:00,26085,0.0
2023-07-01 06:00:00,26085,0.0
2023-07-01 07:00:00,26085,0.0
2023-07-01 08:00:00,26085,0.0
2023-07-01 09:00:00,26085,0.0
2023-07-01 10:00:00,26085,0.0
2023-07-01 11:00:00,26085,0.0
2023-07-01 12:00:00,26085,0.0
2023-07-01 13:00:00,26085,0.0
2023-07-01 14:00:00,26085,0.0
2023-07-01 15:00:00,26085,0.0
2023-07-01 16:00:00,26085,0.0
2023-07-01 17:00:00,26085,0.0
2023-07-01 18:00:00,26085,0.0
2023-07-01 19:00:00,26085,0.0
2023-07-01 20:00:00,26085,0.0
2023-07-01 21:00:00,26085,0.0
2023-07-01 22:00:00,26085,0.0
2023-07-01 23:00:00,26085,0.0
2023-07-02 00:00:00,26085,0.0
2023-06-30 01:00:00,26087,0.0
2023-06-30 02:00:00,26087,0.0
2023-06-30 03:00:00,26087,0.0
2023-06-30 04:00:00,26087,0.0
2023-06-30 05:00:00,26087,0.0
2023-06-30 06:00:00,26087,0.0
2023-06-30 07:00:00,26087,0.0
2023-06-30 08:00:00,26087,0.0
2023-06-30 09:00:00,26087,0.0
2023-06-30 10:00:00,26087,0.0
2023-06-30 11:00:00,26087,0.0
2023-06-30 12:00:00,26087,0.0
2023-06-30 13:00:00,26087,0.0
2023-06-30 14:00:00,26087,0.0
2023-06-30 15:00:00,26087,0.0
2023-06-30 16:00:00,26087,0.0
2023-06-30 17:00:00,26087,0.0
2023-06-30 18:00:00,26087,0.0
2023-06-30 19:00:00,26087,0.0
2023-06-30 20:00:00,26087,0.0
2023-06-30 21:00:00,26087,0.0
2023-06-30 22:00:00,26087,0.0
